0--	M, 140283989721088, 64
2934--	M, 140283987665456, 257
2935--	F, 140283987658736
2936--	F, 140283989773456
2937--	F, 140283989743840
2938--	F, 140283987651040
2939--	M, 140283987657616, 101
2940--	M, 140283987651040, 342
2941--	M, 140283987665728, 464
2942--	M, 140283987666192, 379
2943--	F, 140283987647072
2944--	F, 140283987637728
2945--	F, 140283989768016
2946--	M, 140283987647072, 342
2947--	M, 140283987647424, 136
2948--	F, 140283989751072
2949--	F, 140283989786208
2950--	F, 140283987664528
2951--	F, 140283987663616
2952--	M, 140283987663616, 270
2953--	F, 140283989733328
2954--	F, 140283987649056
2955--	M, 140283987666576, 273
2956--	F, 140283987631632
2957--	M, 140283987666864, 421
2958--	F, 140283989750272
2959--	F, 140283987638176
2960--	F, 140283989759840
2961--	M, 140283987658736, 113
2962--	F, 140283987666576
2963--	F, 140283989797712
2964--	M, 140283987663888, 194
2965--	M, 140283987667296, 357
2966--	M, 140283987667664, 478
2967--	F, 140283987661776
2968--	M, 140283987666576, 283
2969--	F, 140283987666192
2970--	M, 140283987661776, 280
2971--	F, 140283989780736
2972--	F, 140283989759568
2973--	M, 140283987666192, 301
2974--	F, 140283989787952
2975--	M, 140283987668144, 272
2976--	F, 140283989737936
2977--	M, 140283987668416, 493
2978--	M, 140283987668912, 453
2979--	F, 140283987633120
2980--	F, 140283987664784
2981--	F, 140283989768976
2982--	F, 140283987661776
2983--	F, 140283989791984
2984--	F, 140283987638288
2985--	M, 140283987666496, 77
2986--	M, 140283987638176, 366
2987--	F, 140283989800864
2988--	F, 140283987647920
2989--	M, 140283987647920, 390
2990--	M, 140283987661776, 292
2991--	F, 140283987666192
2992--	F, 140283989735456
2993--	F, 140283987659584
2994--	F, 140283987659104
2995--	M, 140283987631632, 154
2996--	M, 140283987640592, 195
2997--	M, 140283987638544, 75
2998--	F, 140283989790512
2999--	M, 140283987664528, 499
3000--	M, 140283987666192, 265
3001--	F, 140283989750144
3002--	M, 140283987659104, 289
3003--	M, 140283987637728, 164
3004--	M, 140283987659408, 479
3005--	M, 140283987665040, 114
3006--	F, 140283987664528
3007--	M, 140283987664528, 269
3008--	F, 140283987644672
3009--	F, 140283989725888
3010--	F, 140283987664096
3011--	F, 140283987654576
3012--	F, 140283987639008
3013--	M, 140283987664096, 389
3014--	F, 140283987663888
3015--	M, 140283987669376, 459
3016--	M, 140283987669840, 381
3017--	F, 140283987657280
3018--	M, 140283987644640, 223
3019--	M, 140283987659888, 83
3020--	F, 140283989770560
3021--	M, 140283987657280, 289
3022--	M, 140283987670224, 376
3023--	F, 140283989739232
3024--	F, 140283989748784
3025--	M, 140283987633120, 133
3026--	F, 140283987643600
3027--	F, 140283989734544
3028--	M, 140283987664800, 163
3029--	M, 140283987638992, 335
3030--	F, 140283987640288
3031--	F, 140283987632832
3032--	M, 140283987654576, 165
3033--	M, 140283987654752, 65
3034--	F, 140283989739440
3035--	M, 140283987640288, 294
3036--	F, 140283987641392
3037--	M, 140283987633264, 93
3038--	F, 140283987647840
3039--	F, 140283987636592
3040--	F, 140283989800368
3041--	M, 140283987636592, 331
3042--	F, 140283987661776
3043--	M, 140283987661776, 348
3044--	F, 140283987638064
3045--	F, 140283987631936
3046--	F, 140283989742736
3047--	F, 140283987652496
3048--	F, 140283987632608
3049--	F, 140283987631856
3050--	M, 140283987631936, 386
3051--	M, 140283987638064, 110
3052--	M, 140283987641392, 248
3053--	F, 140283987650160
3054--	M, 140283987664976, 52
3055--	F, 140283987659408
3056--	F, 140283987667664
3057--	F, 140283989723840
3058--	F, 140283989740512
3059--	F, 140283987635344
3060--	M, 140283987637904, 62
3061--	F, 140283989799232
3062--	F, 140283989796768
3063--	F, 140283989749440
3064--	M, 140283987667664, 455
3065--	F, 140283989779264
3066--	F, 140283987634960
3067--	F, 140283987652096
3068--	F, 140283987636592
3069--	F, 140283989769344
3070--	F, 140283989735104
3071--	M, 140283987634960, 319
3072--	M, 140283987659408, 341
3073--	F, 140283989781152
3074--	F, 140283987659408
3075--	F, 140283989731360
3076--	F, 140283987654128
3077--	F, 140283989732128
3078--	M, 140283987632832, 256
3079--	M, 140283987643600, 304
3080--	M, 140283987632608, 126
3081--	F, 140283987647568
3082--	M, 140283987647568, 214
3083--	M, 140283987654128, 310
3084--	F, 140283989750512
3085--	M, 140283987663888, 194
3086--	F, 140283987641040
3087--	M, 140283987649056, 66
3088--	F, 140283987651504
3089--	F, 140283989793776
3090--	M, 140283987641040, 274
3091--	M, 140283987654448, 96
3092--	M, 140283987651392, 161
3093--	M, 140283987651568, 161
3094--	F, 140283987641664
3095--	M, 140283987641648, 330
3096--	M, 140283987659408, 293
3097--	M, 140283987636592, 495
3098--	M, 140283987659712, 167
3099--	M, 140283987651744, 79
3100--	M, 140283987650160, 173
3101--	M, 140283987652096, 489
3102--	M, 140283987670608, 365
3103--	F, 140283989735952
3104--	F, 140283989727664
3105--	M, 140283987631792, 130
3106--	M, 140283987641984, 113
3107--	F, 140283989737280
3108--	F, 140283987654832
3109--	F, 140283987662512
3110--	F, 140283989780144
3111--	F, 140283987656848
3112--	M, 140283987662512, 190
3113--	M, 140283987652592, 230
3114--	M, 140283987650336, 219
3115--	F, 140283987641984
3116--	M, 140283987654832, 354
3117--	M, 140283987656848, 418
3118--	F, 140283989742992
3119--	F, 140283989768464
3120--	M, 140283987670976, 409
3121--	M, 140283987671392, 240
3122--	F, 140283987659888
3123--	M, 140283987671632, 258
3124--	F, 140283989748240
3125--	M, 140283987641984, 125
3126--	M, 140283987671904, 490
3127--	F, 140283987654752
3128--	M, 140283987672400, 425
3129--	M, 140283987672832, 254
3130--	F, 140283989746288
3131--	F, 140283987648800
3132--	F, 140283987659104
3133--	F, 140283987667664
3134--	F, 140283989733520
3135--	M, 140283987635280, 164
3136--	M, 140283987648800, 155
3137--	M, 140283987667664, 344
3138--	M, 140283987659104, 162
3139--	M, 140283987673088, 462
3140--	M, 140283987673552, 176
3141--	M, 140283987673728, 316
3142--	M, 140283987674048, 185
3143--	F, 140283987636288
3144--	F, 140283987653680
3145--	F, 140283987642480
3146--	M, 140283987653664, 359
3147--	F, 140283987637904
3148--	F, 140283987647424
3149--	M, 140283987636288, 266
3150--	F, 140283989749680
3151--	F, 140283989737008
3152--	M, 140283987674240, 226
3153--	F, 140283987658224
3154--	M, 140283987642480, 147
3155--	M, 140283987658224, 297
3156--	M, 140283987674480, 351
3157--	M, 140283987674832, 218
3158--	F, 140283989753088
3159--	M, 140283987675056, 399
3160--	F, 140283987638992
3161--	M, 140283987675456, 426
3162--	F, 140283989723568
3163--	M, 140283987654752, 79
3164--	F, 140283987633808
3165--	M, 140283987654032, 88
3166--	F, 140283987675456
3167--	F, 140283989739008
3168--	M, 140283987658528, 196
3169--	F, 140283987657744
3170--	F, 140283987645808
3171--	F, 140283987636288
3172--	M, 140283987636288, 295
3173--	M, 140283987633808, 154
3174--	F, 140283987656016
3175--	F, 140283987647568
3176--	F, 140283987642272
3177--	F, 140283989801344
3178--	M, 140283987656016, 163
3179--	M, 140283987648960, 92
3180--	M, 140283987659888, 72
3181--	M, 140283987675456, 411
3182--	M, 140283987645760, 235
3183--	F, 140283989730032
3184--	M, 140283987638992, 165
3185--	F, 140283987641392
3186--	M, 140283987647424, 388
3187--	F, 140283987656848
3188--	F, 140283989721088
3189--	F, 140283987639632
3190--	F, 140283987634960
3191--	F, 140283987645760
3192--	M, 140283987639632, 377
3193--	F, 140283987668912
3194--	F, 140283987664976
3195--	F, 140283987640192
3196--	M, 140283987656848, 371
3197--	F, 140283987660000
3198--	M, 140283987668912, 381
3199--	M, 140283987645760, 269
3200--	F, 140283987637728
3201--	M, 140283987659968, 244
3202--	F, 140283987659712
3203--	M, 140283987659280, 127
3204--	F, 140283987642480
3205--	M, 140283987657728, 430
3206--	F, 140283987640592
3207--	F, 140283987643360
3208--	M, 140283987640176, 98
3209--	M, 140283987642240, 321
3210--	M, 140283987634960, 303
3211--	M, 140283987675888, 364
3212--	M, 140283987639168, 188
3213--	F, 140283987642240
3214--	M, 140283987676256, 452
3215--	M, 140283987659712, 137
3216--	M, 140283987642240, 401
3217--	M, 140283987676720, 370
3218--	F, 140283989748320
3219--	M, 140283987641328, 242
3220--	M, 140283987668016, 117
3221--	M, 140283987669296, 68
3222--	F, 140283987658736
3223--	F, 140283987669376
3224--	M, 140283987669376, 334
3225--	M, 140283987640592, 208
3226--	F, 140283987662128
3227--	F, 140283987651392
3228--	F, 140283987632336
3229--	F, 140283987671904
3230--	M, 140283987632336, 265
3231--	F, 140283989727552
3232--	F, 140283987665728
3233--	F, 140283987655200
3234--	M, 140283987671904, 474
3235--	M, 140283987658736, 141
3236--	F, 140283987674832
3237--	M, 140283987662128, 249
3238--	F, 140283987643232
3239--	F, 140283989766304
3240--	M, 140283987655200, 379
3241--	M, 140283987665728, 306
3242--	F, 140283989776928
3243--	M, 140283987643360, 235
3244--	F, 140283989786592
3245--	F, 140283987643600
3246--	F, 140283987651040
3247--	M, 140283987651040, 413
3248--	F, 140283987638544
3249--	M, 140283987677104, 319
3250--	F, 140283989781776
3251--	F, 140283987662400
3252--	F, 140283987648960
3253--	F, 140283987646640
3254--	M, 140283987643600, 297
3255--	F, 140283989756320
3256--	M, 140283987677424, 473
3257--	F, 140283989784704
3258--	F, 140283987635792
3259--	M, 140283987635792, 258
3260--	M, 140283987674832, 216
3261--	F, 140283987632736
3262--	M, 140283987646640, 73
3263--	F, 140283987637088
3264--	F, 140283989729504
3265--	M, 140283987662384, 121
3266--	M, 140283987637728, 232
3267--	M, 140283987677904, 485
3268--	F, 140283987661632
3269--	M, 140283987678400, 316
3270--	M, 140283987678720, 423
3271--	M, 140283987637088, 263
3272--	F, 140283987653664
3273--	F, 140283987658736
3274--	M, 140283987653664, 199
3275--	M, 140283987679152, 218
3276--	M, 140283987679376, 490
3277--	F, 140283987677904
3278--	F, 140283987674832
3279--	M, 140283987674832, 209
3280--	F, 140283987654832
3281--	M, 140283987677904, 463
3282--	M, 140283987654832, 367
3283--	M, 140283987679872, 495
3284--	M, 140283987680368, 215
3285--	M, 140283987680592, 329
3286--	F, 140283989798944
3287--	F, 140283987666496
3288--	M, 140283987680928, 310
3289--	F, 140283987674048
3290--	F, 140283987652880
3291--	M, 140283987643216, 134
3292--	F, 140283987640288
3293--	M, 140283987652832, 430
3294--	M, 140283987638544, 68
3295--	M, 140283987632736, 91
3296--	F, 140283987677904
3297--	F, 140283987675456
3298--	M, 140283987675456, 358
3299--	F, 140283989742576
3300--	M, 140283987669712, 113
3301--	M, 140283987677904, 368
3302--	F, 140283987646336
3303--	M, 140283987681248, 395
3304--	M, 140283987674048, 164
3305--	M, 140283987681648, 469
3306--	M, 140283987682128, 414
3307--	M, 140283987653872, 150
3308--	M, 140283987682544, 451
3309--	M, 140283987683008, 313
3310--	F, 140283987638544
3311--	M, 140283987683328, 474
3312--	M, 140283987683808, 497
3313--	M, 140283987684320, 326
3314--	M, 140283987684656, 495
3315--	F, 140283987646720
3316--	F, 140283989747408
3317--	F, 140283987665168
3318--	M, 140283987665168, 269
3319--	M, 140283987640288, 202
3320--	M, 140283987646720, 232
3321--	M, 140283987685152, 348
3322--	M, 140283987685504, 300
3323--	M, 140283987685808, 361
3324--	F, 140283987636592
3325--	F, 140283987650672
3326--	F, 140283989746448
3327--	M, 140283987650560, 380
3328--	F, 140283989794576
3329--	F, 140283987650336
3330--	F, 140283987643904
3331--	M, 140283987643904, 270
3332--	F, 140283987632608
3333--	F, 140283989731024
3334--	F, 140283987632832
3335--	F, 140283989747056
3336--	F, 140283987671392
3337--	M, 140283987636592, 442
3338--	F, 140283987675056
3339--	M, 140283987686176, 496
3340--	F, 140283989728304
3341--	M, 140283987661616, 160
3342--	F, 140283987656448
3343--	F, 140283987634960
3344--	M, 140283987638544, 67
3345--	M, 140283987656448, 205
3346--	M, 140283987686672, 486
3347--	M, 140283987675056, 395
3348--	F, 140283987631792
3349--	M, 140283987687168, 498
3350--	F, 140283989743504
3351--	M, 140283987631792, 132
3352--	M, 140283987671392, 233
3353--	M, 140283987632832, 249
3354--	F, 140283989785168
3355--	M, 140283987634960, 311
3356--	F, 140283987666864
3357--	M, 140283987658736, 166
3358--	M, 140283987666864, 320
3359--	F, 140283987668144
3360--	F, 140283987638624
3361--	F, 140283989746928
3362--	F, 140283989742240
3363--	M, 140283987687680, 402
3364--	F, 140283987660240
3365--	F, 140283987633360
3366--	F, 140283987675456
3367--	F, 140283987662384
3368--	F, 140283989772544
3369--	F, 140283987647424
3370--	M, 140283987675456, 414
3371--	M, 140283987638624, 151
3372--	F, 140283987655200
3373--	F, 140283987663264
3374--	F, 140283989793312
3375--	M, 140283987633360, 265
3376--	M, 140283987667184, 103
3377--	M, 140283987663264, 308
3378--	F, 140283987643216
3379--	F, 140283987638544
3380--	F, 140283987638064
3381--	F, 140283987683328
3382--	M, 140283987655200, 332
3383--	M, 140283987683328, 467
3384--	M, 140283987655536, 89
3385--	F, 140283987644976
3386--	M, 140283987650944, 92
3387--	M, 140283987668144, 271
3388--	F, 140283987631792
3389--	F, 140283987646640
3390--	M, 140283987644976, 322
3391--	M, 140283987647424, 435
3392--	M, 140283987640496, 93
3393--	F, 140283987654128
3394--	F, 140283987662128
3395--	M, 140283987654128, 257
3396--	F, 140283987676256
3397--	F, 140283987686672
3398--	M, 140283987676256, 444
3399--	F, 140283987667296
3400--	M, 140283987648960, 84
3401--	F, 140283987665040
3402--	M, 140283987644176, 182
3403--	M, 140283987667296, 340
3404--	M, 140283987638064, 112
3405--	F, 140283987654832
3406--	F, 140283987656848
3407--	M, 140283987654832, 284
3408--	F, 140283987670608
3409--	M, 140283987646336, 51
3410--	M, 140283987665040, 126
3411--	F, 140283987633360
3412--	M, 140283987670608, 292
3413--	F, 140283987650944
3414--	F, 140283987685504
3415--	M, 140283987662128, 374
3416--	F, 140283987656448
3417--	M, 140283987686672, 480
3418--	F, 140283987634512
3419--	F, 140283987642240
3420--	F, 140283987641984
3421--	M, 140283987660224, 463
3422--	M, 140283987642240, 357
3423--	M, 140283987646960, 104
3424--	F, 140283987651744
3425--	M, 140283987633360, 228
3426--	F, 140283987665168
3427--	M, 140283987665168, 288
3428--	F, 140283989790656
3429--	M, 140283987688096, 470
3430--	F, 140283987640176
3431--	F, 140283987671904
3432--	M, 140283987685504, 265
3433--	F, 140283987679872
3434--	F, 140283987675056
3435--	F, 140283989778656
3436--	M, 140283987675056, 312
3437--	M, 140283987679872, 490
3438--	F, 140283989794144
3439--	F, 140283987644176
3440--	F, 140283987643360
3441--	F, 140283989777648
3442--	F, 140283989795056
3443--	F, 140283987631936
3444--	F, 140283989726080
3445--	F, 140283989769808
3446--	F, 140283989795488
3447--	M, 140283987656848, 272
3448--	M, 140283987634512, 390
3449--	M, 140283987671904, 410
3450--	F, 140283989772208
3451--	M, 140283987643216, 140
3452--	F, 140283989744576
3453--	M, 140283987642608, 63
3454--	F, 140283987654752
3455--	M, 140283987631792, 396
3456--	F, 140283987647072
3457--	M, 140283987644176, 174
3458--	M, 140283987688576, 389
3459--	M, 140283987688976, 431
3460--	F, 140283987659280
3461--	F, 140283987653872
3462--	M, 140283987653872, 157
3463--	F, 140283987680368
3464--	M, 140283987689408, 394
3465--	F, 140283987666576
3466--	F, 140283987634512
3467--	M, 140283987659280, 121
3468--	M, 140283987647072, 307
3469--	F, 140283987637728
3470--	M, 140283987632192, 143
3471--	F, 140283987687680
3472--	M, 140283987689808, 490
3473--	M, 140283987666464, 343
3474--	F, 140283987667184
3475--	F, 140283987674832
3476--	F, 140283987658928
3477--	M, 140283987687680, 368
3478--	M, 140283987667184, 106
3479--	M, 140283987641984, 116
3480--	M, 140283987690304, 450
3481--	F, 140283989725072
3482--	M, 140283987634512, 248
3483--	M, 140283987650944, 96
3484--	F, 140283989773696
3485--	M, 140283987634768, 183
3486--	F, 140283989783136
3487--	M, 140283987690768, 359
3488--	F, 140283987661616
3489--	M, 140283987661616, 148
3490--	F, 140283987633120
3491--	F, 140283987643904
3492--	M, 140283987691136, 321
3493--	M, 140283987640176, 98
3494--	M, 140283987691472, 374
3495--	F, 140283987640176
3496--	M, 140283987633088, 161
3497--	M, 140283987674832, 216
3498--	M, 140283987691856, 457
3499--	M, 140283987692320, 402
3500--	M, 140283987692736, 447
3501--	F, 140283987649136
3502--	M, 140283987649136, 391
3503--	M, 140283987670912, 64
3504--	M, 140283987693184, 345
3505--	F, 140283987674048
3506--	M, 140283987632608, 128
3507--	M, 140283987693536, 294
3508--	F, 140283987644384
3509--	F, 140283987663888
3510--	F, 140283987683008
3511--	F, 140283987638064
3512--	M, 140283987657120, 159
3513--	M, 140283987693840, 339
3514--	M, 140283987654752, 75
3515--	F, 140283987678720
3516--	M, 140283987674048, 174
3517--	M, 140283987658912, 178
3518--	F, 140283987674240
3519--	F, 140283987657280
3520--	F, 140283989781520
3521--	F, 140283989785408
3522--	M, 140283987666048, 131
3523--	F, 140283987671632
3524--	M, 140283987694192, 494
3525--	F, 140283987639632
3526--	M, 140283987663888, 141
3527--	F, 140283989756656
3528--	F, 140283987658528
3529--	M, 140283987638064, 101
3530--	M, 140283987637728, 228
3531--	F, 140283989760768
3532--	F, 140283987640592
3533--	F, 140283987693184
3534--	M, 140283987640176, 99
3535--	F, 140283987690768
3536--	F, 140283987659408
3537--	F, 140283989770112
3538--	M, 140283987658528, 175
3539--	F, 140283987671392
3540--	F, 140283987640288
3541--	F, 140283989743664
3542--	F, 140283987640816
3543--	M, 140283987636064, 100
3544--	M, 140283987671392, 487
3545--	M, 140283987640288, 131
3546--	F, 140283987657120
3547--	F, 140283987638992
3548--	M, 140283987659408, 294
3549--	F, 140283987633984
3550--	M, 140283987680368, 224
3551--	F, 140283987650944
3552--	F, 140283987680592
3553--	M, 140283987640592, 439
3554--	M, 140283987639632, 369
3555--	F, 140283987675456
3556--	M, 140283987640432, 63
3557--	F, 140283987634768
3558--	F, 140283987640032
3559--	F, 140283989797152
3560--	M, 140283987683008, 296
3561--	F, 140283989772768
3562--	F, 140283987643216
3563--	M, 140283987650944, 87
3564--	M, 140283987675376, 498
3565--	F, 140283989758512
3566--	F, 140283987685504
3567--	F, 140283987646960
3568--	F, 140283989757280
3569--	M, 140283987678720, 389
3570--	M, 140283987678272, 116
3571--	F, 140283987672832
3572--	M, 140283987657120, 439
3573--	F, 140283987649568
3574--	M, 140283987656432, 207
3575--	F, 140283987664096
3576--	F, 140283987662128
3577--	M, 140283987664032, 424
3578--	M, 140283987680592, 335
3579--	F, 140283987654128
3580--	M, 140283987662128, 381
3581--	M, 140283987638992, 168
3582--	M, 140283987694688, 463
3583--	F, 140283989779792
3584--	F, 140283987661424
3585--	M, 140283987664464, 63
3586--	F, 140283989756384
3587--	M, 140283987633968, 85
3588--	M, 140283987695152, 417
3589--	M, 140283987672832, 236
3590--	M, 140283987685504, 303
3591--	M, 140283987649536, 204
3592--	M, 140283987674224, 232
3593--	M, 140283987643904, 264
3594--	F, 140283987648960
3595--	M, 140283987690768, 358
3596--	F, 140283987641040
3597--	M, 140283987641040, 274
3598--	M, 140283987650336, 199
3599--	M, 140283987643216, 358
3600--	F, 140283987647424
3601--	M, 140283987647392, 438
3602--	F, 140283987642816
3603--	F, 140283987670976
3604--	F, 140283987659104
3605--	M, 140283987661424, 186
3606--	M, 140283987642784, 366
3607--	F, 140283987669376
3608--	F, 140283987682128
3609--	F, 140283987650336
3610--	M, 140283987648960, 84
3611--	F, 140283987653600
3612--	M, 140283987640016, 152
3613--	F, 140283987665456
3614--	F, 140283987657616
3615--	F, 140283989728848
3616--	F, 140283987647392
3617--	M, 140283987665456, 242
3618--	F, 140283987673552
3619--	M, 140283987654128, 320
3620--	F, 140283987659408
3621--	M, 140283987653552, 90
3622--	M, 140283987682128, 366
3623--	M, 140283987646960, 103
3624--	F, 140283987634064
3625--	F, 140283987644640
3626--	F, 140283987638832
3627--	M, 140283987651456, 83
3628--	M, 140283987670976, 374
3629--	F, 140283987647920
3630--	F, 140283987679152
3631--	F, 140283989800272
3632--	F, 140283989762992
3633--	M, 140283987653264, 50
3634--	M, 140283987634768, 182
3635--	M, 140283987659408, 294
3636--	M, 140283987669376, 283
3637--	M, 140283987638784, 183
3638--	F, 140283987680592
3639--	M, 140283987634064, 377
3640--	F, 140283987662768
3641--	F, 140283987679872
3642--	M, 140283987680592, 310
3643--	F, 140283987649056
3644--	F, 140283987640016
3645--	F, 140283987691472
3646--	F, 140283987635792
3647--	F, 140283987654832
3648--	F, 140283987682544
3649--	M, 140283987693184, 335
3650--	F, 140283987640176
3651--	M, 140283987650336, 204
3652--	M, 140283987654832, 319
3653--	F, 140283987658912
3654--	M, 140283987691472, 305
3655--	F, 140283987641040
3656--	M, 140283987679120, 244
3657--	M, 140283987657568, 126
3658--	M, 140283987679872, 351
3659--	M, 140283987673552, 148
3660--	M, 140283987682496, 406
3661--	F, 140283987674224
3662--	M, 140283987658912, 326
3663--	M, 140283987640016, 171
3664--	M, 140283987644352, 340
3665--	F, 140283989740832
3666--	F, 140283987683008
3667--	F, 140283987668144
3668--	M, 140283987680224, 111
3669--	M, 140283987682912, 408
3670--	M, 140283987644704, 146
3671--	F, 140283987673088
3672--	M, 140283987673072, 291
3673--	M, 140283987662704, 334
3674--	M, 140283987647392, 366
3675--	M, 140283987647760, 395
3676--	F, 140283987692736
3677--	F, 140283987657728
3678--	F, 140283987641328
3679--	F, 140283987654832
3680--	F, 140283987664464
3681--	F, 140283989773056
3682--	M, 140283987640192, 94
3683--	M, 140283987648160, 185
3684--	M, 140283987663040, 179
3685--	F, 140283987684656
3686--	M, 140283987673376, 132
3687--	M, 140283987654832, 358
3688--	M, 140283987674224, 127
3689--	M, 140283987692736, 402
3690--	F, 140283987654752
3691--	F, 140283987668912
3692--	F, 140283987679120
3693--	M, 140283987679120, 219
3694--	F, 140283987646336
3695--	F, 140283987674224
3696--	M, 140283987668912, 312
3697--	F, 140283987643152
3698--	F, 140283987649744
3699--	M, 140283987674224, 200
3700--	F, 140283987631632
3701--	M, 140283987684656, 410
3702--	F, 140283987652096
3703--	F, 140283987654576
3704--	M, 140283987652096, 402
3705--	F, 140283987654448
3706--	M, 140283987654448, 89
3707--	F, 140283987632608
3708--	M, 140283987631632, 133
3709--	M, 140283987632608, 126
3710--	M, 140283987668144, 195
3711--	M, 140283987635792, 247
3712--	M, 140283987649744, 124
3713--	M, 140283987657696, 299
3714--	M, 140283987641040, 487
3715--	M, 140283987641536, 86
3716--	M, 140283987695584, 346
3717--	M, 140283987658000, 156
3718--	F, 140283987640592
3719--	M, 140283987652512, 66
3720--	F, 140283987685152
3721--	F, 140283987659408
3722--	F, 140283987694688
3723--	F, 140283987658528
3724--	F, 140283987641040
3725--	F, 140283987653664
3726--	M, 140283987685072, 381
3727--	M, 140283987694688, 406
3728--	M, 140283987654544, 247
3729--	F, 140283989765824
3730--	M, 140283987640592, 385
3731--	F, 140283987692320
3732--	F, 140283987674048
3733--	M, 140283987658528, 156
3734--	F, 140283987682128
3735--	F, 140283987647072
3736--	M, 140283987653648, 106
3737--	M, 140283987658160, 61
3738--	F, 140283987635792
3739--	M, 140283987682128, 322
3740--	M, 140283987635792, 123
3741--	F, 140283987665456
3742--	M, 140283987692320, 416
3743--	F, 140283987640288
3744--	F, 140283987649744
3745--	M, 140283987665456, 204
3746--	F, 140283987659968
3747--	M, 140283987659968, 246
3748--	M, 140283987640992, 379
3749--	F, 140283987658224
3750--	M, 140283987641376, 150
3751--	M, 140283987658224, 244
3752--	F, 140283987632736
3753--	M, 140283987659408, 185
3754--	F, 140283987633808
3755--	M, 140283987647072, 208
3756--	F, 140283987684656
3757--	M, 140283987695936, 488
3758--	F, 140283987652592
3759--	M, 140283987684656, 394
3760--	M, 140283987652592, 236
3761--	M, 140283987632736, 85
3762--	F, 140283987657568
3763--	F, 140283987639360
3764--	F, 140283987665456
3765--	F, 140283987653264
3766--	F, 140283987685072
3767--	F, 140283987637728
3768--	M, 140283987640288, 132
3769--	F, 140283987669840
3770--	M, 140283987685056, 415
3771--	F, 140283987663264
3772--	F, 140283989728640
3773--	F, 140283987695584
3774--	F, 140283987643904
3775--	M, 140283987635920, 142
3776--	F, 140283987685056
3777--	M, 140283987633808, 144
3778--	M, 140283987643904, 248
3779--	F, 140283987658528
3780--	M, 140283987649744, 140
3781--	F, 140283989753184
3782--	F, 140283987658912
3783--	M, 140283987696432, 488
3784--	M, 140283987685056, 409
3785--	F, 140283987669296
3786--	F, 140283989799408
3787--	M, 140283987695584, 311
3788--	F, 140283989726992
3789--	M, 140283987637728, 194
3790--	F, 140283987652592
3791--	F, 140283987640288
3792--	F, 140283987665168
3793--	F, 140283987658736
3794--	M, 140283987647280, 81
3795--	M, 140283987665168, 432
3796--	M, 140283987652592, 235
3797--	F, 140283987634064
3798--	F, 140283989731760
3799--	M, 140283987658480, 231
3800--	M, 140283987658912, 292
3801--	F, 140283987650160
3802--	F, 140283987666464
3803--	F, 140283987633088
3804--	F, 140283987647072
3805--	F, 140283987633968
3806--	M, 140283987634064, 430
3807--	F, 140283989777328
3808--	F, 140283987658160
3809--	M, 140283987663232, 244
3810--	M, 140283987696928, 436
3811--	M, 140283987658720, 186
3812--	F, 140283989782016
3813--	M, 140283987697376, 466
3814--	F, 140283987640992
3815--	M, 140283987697856, 443
3816--	F, 140283987632736
3817--	F, 140283987670976
3818--	M, 140283987640992, 213
3819--	M, 140283987669840, 215
3820--	F, 140283987683808
3821--	M, 140283987683808, 482
3822--	M, 140283987698304, 448
3823--	F, 140283987651456
3824--	F, 140283987634768
3825--	F, 140283987693184
3826--	F, 140283989785552
3827--	M, 140283987633088, 164
3828--	F, 140283987697376
3829--	M, 140283987670976, 404
3830--	M, 140283987693152, 233
3831--	M, 140283987647072, 196
3832--	M, 140283987666464, 296
3833--	M, 140283987697376, 245
3834--	F, 140283987642112
3835--	M, 140283987642112, 114
3836--	M, 140283987698752, 248
3837--	F, 140283987658720
3838--	F, 140283987634512
3839--	M, 140283987699008, 496
3840--	M, 140283987651456, 104
3841--	M, 140283987634496, 300
3842--	M, 140283987650160, 174
3843--	M, 140283987699504, 281
3844--	F, 140283987642608
3845--	F, 140283987680592
3846--	M, 140283987699792, 413
3847--	F, 140283987682128
3848--	M, 140283987693392, 132
3849--	F, 140283987650160
3850--	M, 140283987663488, 125
3851--	M, 140283987680592, 329
3852--	M, 140283987700208, 430
3853--	F, 140283987646064
3854--	F, 140283987638992
3855--	F, 140283987643216
3856--	M, 140283987640288, 134
3857--	F, 140283987677424
3858--	M, 140283987643152, 369
3859--	F, 140283987673552
3860--	F, 140283987680224
3861--	M, 140283987677424, 441
3862--	F, 140283987695152
3863--	M, 140283987695104, 370
3864--	F, 140283987663488
3865--	M, 140283987646032, 279
3866--	M, 140283987633952, 109
3867--	F, 140283987679120
3868--	F, 140283987641536
3869--	F, 140283987635920
3870--	M, 140283987646320, 67
3871--	M, 140283987643536, 58
3872--	F, 140283987659408
3873--	F, 140283989763632
3874--	F, 140283989791152
3875--	M, 140283987682128, 365
3876--	F, 140283987697376
3877--	F, 140283987661424
3878--	F, 140283987640288
3879--	F, 140283987638064
3880--	F, 140283989767728
3881--	F, 140283987673072
3882--	F, 140283987634496
3883--	F, 140283987683328
3884--	M, 140283987663488, 125
3885--	F, 140283987695104
3886--	M, 140283987634496, 381
3887--	M, 140283987634880, 69
3888--	M, 140283987673520, 193
3889--	F, 140283987643600
3890--	F, 140283987680368
3891--	F, 140283987640592
3892--	M, 140283987695104, 408
3893--	F, 140283987635536
3894--	F, 140283987654544
3895--	M, 140283987670064, 146
3896--	F, 140283987672832
3897--	M, 140283987683328, 436
3898--	F, 140283987644976
3899--	M, 140283987640592, 390
3900--	F, 140283987673728
